;date;icms_sp;igp_m;ibc_br;dias_uteis;igp_m_22;ibc_br_22;igp_m_21;ibc_br_21;igp_m_20;ibc_br_20;igp_m_19;ibc_br_19;igp_m_18;ibc_br_18;igp_m_17;ibc_br_17;igp_m_16;ibc_br_16;igp_m_15;ibc_br_15;igp_m_14;ibc_br_14;igp_m_13;ibc_br_13;Licms_sp;DLicms_sp;D2igp_m;Dibc_br;D2igp_m_22;Dibc_br_22;D2igp_m_21;Dibc_br_21;D2igp_m_20;Dibc_br_20;D2igp_m_19;Dibc_br_19;D2igp_m_18;Dibc_br_18;D2igp_m_17;Dibc_br_17;D2igp_m_16;Dibc_br_16;D2igp_m_15;Dibc_br_15;D2igp_m_14;Dibc_br_14;D2igp_m_13;Dibc_br_13;22_forecast_uni_fixed;22_forecast_uni_var;22_forecast_uni_mean_var;22_forecast_multi_fixed;22_forecast_multi_var;22_forecast_multi_mean_var;21_forecast_uni_fixed;21_forecast_uni_var;21_forecast_uni_mean_var;21_forecast_multi_fixed;21_forecast_multi_var;21_forecast_multi_mean_var;20_forecast_uni_fixed;20_forecast_uni_var;20_forecast_uni_mean_var;20_forecast_multi_fixed;20_forecast_multi_var;20_forecast_multi_mean_var;19_forecast_uni_fixed;19_forecast_uni_var;19_forecast_multi_fixed;19_forecast_multi_var;19_forecast_multi_mean_var;18_forecast_uni_fixed;18_forecast_uni_var;18_forecast_uni_mean_var;18_forecast_multi_fixed;18_forecast_multi_var;18_forecast_multi_mean_var;17_forecast_uni_fixed;17_forecast_uni_var;17_forecast_uni_mean_var;17_forecast_multi_fixed;17_forecast_multi_var;17_forecast_multi_mean_var;16_forecast_uni_fixed;16_forecast_uni_var;16_forecast_uni_mean_var;16_forecast_multi_fixed;16_forecast_multi_var;16_forecast_multi_mean_var;15_forecast_uni_fixed;15_forecast_uni_var;15_forecast_uni_mean_var;15_forecast_multi_var;15_forecast_multi_mean_var;14_forecast_uni_fixed;14_forecast_uni_var;13_forecast_uni_fixed;13_forecast_uni_var;13_forecast_uni_mean_var;13_forecast_multi_var;13_forecast_multi_mean_var;14_forecast_multi_fixed;14_forecast_multi_mean_var;14_forecast_multi_var;14_forecast_uni_mean_var
2016(1);2016-01-01;10049097279;624,06;128,26;20;624,06;128,26;624,06;128,26;624,06;128,26;624,06;128,26;624,06;128,26;624,06;128,26;620,8696728;131,3432229;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,03074864;-0,098955806;10,009;-7,96;10,009;-7,96;10,009;-7,96;10,009;-7,96;10,009;-7,96;10,009;-7,96;10,009;-7,96;6,8186728;-4,876777086;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,072904137;-0,091156253;-0,076280927;-0,122589769;-0,126784645;-0,128199538;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2016(2);2016-02-01;10023125262;632,114;130,81;19;632,114;130,81;632,114;130,81;632,114;130,81;632,114;130,81;632,114;130,81;632,114;130,81;624,4707169;131,2093573;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,02816079;-0,002587858;15,07;2,55;15,07;2,55;15,07;2,55;15,07;2,55;15,07;2,55;15,07;2,55;15,07;2,55;7,426716902;-0,133865635;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,042683391;-0,031791891;-0,03780798;-0,019412439;-0,044258763;-0,051167223;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2016(3);2016-03-01;10034865567;635,349;140,29;22;635,349;140,29;635,349;140,29;635,349;140,29;635,349;140,29;635,349;140,29;635,349;140,29;628,0926471;142,6875398;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,02933142;0,001170636;11,289;9,48;11,289;9,48;11,289;9,48;11,289;9,48;11,289;9,48;11,289;9,48;11,289;9,48;7,22297426;11,47818253;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,020598138;0,013681128;0,009011872;0,016394674;0,028031184;0,018190216;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2016(4);2016-04-01;9838064791;637,434;136,03;20;637,434;136,03;637,434;136,03;637,434;136,03;637,434;136,03;637,434;136,03;637,434;136,03;631,2331103;135,6938799;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,00952486;-0,019806562;5,32;-4,26;5,32;-4,26;5,32;-4,26;5,32;-4,26;5,32;-4,26;5,32;-4,26;5,32;-4,26;6,762393393;-6,993659899;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,043549861;0,045967788;0,055899372;0,048480168;0,044509734;0,041950494;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2016(5);2016-05-01;9984410117;642,651;133,56;22;642,651;133,56;642,651;133,56;642,651;133,56;642,651;133,56;642,651;133,56;642,651;133,56;633,9474127;136,1144203;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,02429073;0,014765864;7,302;-2,47;7,302;-2,47;7,302;-2,47;7,302;-2,47;7,302;-2,47;7,302;-2,47;7,302;-2,47;5,85476561;0,420540423;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,000594697;-0,003154297;-0,025208607;-0,010423601;-0,001620921;-0,004374116;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2016(6);2016-06-01;9883704182;653,496;135,27;22;653,496;135,27;653,496;135,27;653,496;135,27;653,496;135,27;653,496;135,27;653,496;135,27;636,5465971;135,1183668;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,0141532;-0,010137529;16,062;1,71;16,062;1,71;16,062;1,71;16,062;1,71;16,062;1,71;16,062;1,71;16,062;1,71;5,313486766;-0,996053571;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,011592909;0,010173511;0,019087434;0,042644911;0,040120227;0,029784363;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2016(7);2016-07-01;9569317049;654,641;136,7;21;654,641;136,7;654,641;136,7;654,641;136,7;654,641;136,7;654,641;136,7;654,641;136,7;638,9654741;138,6361189;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;22,98182768;-0,03232552;11,99;1,43;11,99;1,43;11,99;1,43;11,99;1,43;11,99;1,43;11,99;1,43;11,99;1,43;5,018061461;3,517752124;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,001454946;0,000673017;-0,003418699;-0,026515487;-0,007958647;-0,01739453;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2016(8);2016-08-01;10121992736;655,602;138,17;23;655,602;138,17;655,602;138,17;655,602;138,17;655,602;138,17;655,602;138,17;655,602;138,17;641,5852326;138,8337355;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,03797639;0,056148716;2,106;1,47;2,106;1,47;2,106;1,47;2,106;1,47;2,106;1,47;2,106;1,47;2,106;1,47;5,038635513;0,197616578;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,010842722;0,018487442;0,023890529;0,022794189;0,028892864;0,026950219;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2016(9);2016-09-01;10039723981;656,894;133,88;21;656,894;133,88;656,894;133,88;656,894;133,88;656,894;133,88;656,894;133,88;656,894;133,88;645,1139514;135,9703257;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,02981546;-0,008160933;2,253;-4,29;2,253;-4,29;2,253;-4,29;2,253;-4,29;2,253;-4,29;2,253;-4,29;2,253;-4,29;6,148477223;-2,863409809;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,035882351;0,037001719;0,041668648;0,031538489;0,036358091;0,035891556;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2016(10);2016-10-01;10403468908;657,927;132,74;20;657,927;132,74;657,927;132,74;657,927;132,74;657,927;132,74;657,927;132,74;657,927;132,74;648,9201237;138,2126838;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,06540514;0,035589677;2,325;-1,14;2,325;-1,14;2,325;-1,14;2,325;-1,14;2,325;-1,14;2,325;-1,14;2,325;-1,14;7,334891092;2,242358163;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,020649756;0,018111196;0,020322176;-0,000562018;-0,000616091;-0,001642539;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2016(11);2016-11-01;10265349292;657,752;132,37;20;657,752;132,37;657,752;132,37;657,752;132,37;657,752;132,37;657,752;132,37;657,752;132,37;652,6189684;135,8113141;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,05203991;-0,013365222;0,858;-0,37;0,858;-0,37;0,858;-0,37;0,858;-0,37;0,858;-0,37;0,858;-0,37;0,858;-0,37;7,505017018;-2,401369688;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,009988158;-0,010802204;-0,015008939;-0,002192804;-0,003838511;-0,00379599;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2016(12);2016-12-01;10980038208;661,304;133,32;22;661,304;133,32;661,304;133,32;661,304;133,32;661,304;133,32;661,304;133,32;661,304;133,32;656,0778489;133,9550921;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,11934475;0,067304839;3,377;0,95;3,377;0,95;3,377;0,95;3,377;0,95;3,377;0,95;3,377;0,95;3,377;0,95;7,157725237;-1,856222073;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,073323326;0,079241772;0,087509799;0,083606233;0,103444921;0,103581069;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2017(1);2017-01-01;10728863703;665,542;128,47;22;665,542;128,47;665,542;128,47;665,542;128,47;665,542;128,47;665,542;128,47;664,7427808;126,5399037;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,09620349;-0,023141264;7,79;-4,85;7,79;-4,85;7,79;-4,85;7,79;-4,85;7,79;-4,85;7,79;-4,85;6,9907808;-6,780096319;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,058385483;-0,087501464;-0,088729576;-0,075754372;-0,090975525;-0,10092398;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2017(2);2017-02-01;9732299925;666,099;129,39;19;666,099;129,39;666,099;129,39;666,099;129,39;666,099;129,39;666,099;129,39;667,7341233;129,7086965;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;22,99871608;-0,097487409;4,795;0,92;4,795;0,92;4,795;0,92;4,795;0,92;4,795;0,92;4,795;0,92;6,430123314;3,168792817;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,045640481;-0,030822364;-0,026916835;-0,036394114;-0,034882352;-0,018481877;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2017(3);2017-03-01;10040514202;666,197;141,9;22;666,197;141,9;666,197;141,9;666,197;141,9;666,197;141,9;666,197;141,9;670,7389269;139,1177998;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,02989417;0,031178085;0,655;12,51;0,655;12,51;0,655;12,51;0,655;12,51;0,655;12,51;0,655;12,51;5,996146069;9,409103323;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,016818151;0,011131541;0,009852218;0,030310605;0,029325913;0,03547208;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2017(4);2017-04-01;10675676976;658,898;133,75;18;658,898;133,75;658,898;133,75;658,898;133,75;658,898;133,75;658,898;133,75;673,6231043;134,3587636;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,09123381;0,061339646;-7,201;-8,15;-7,201;-8,15;-7,201;-8,15;-7,201;-8,15;-7,201;-8,15;-7,201;-8,15;5,88898094;-4,759036202;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,03482817;0,044506231;0,050554479;0,007601234;0,006632357;0,013300838;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2017(5);2017-05-01;10143032857;652,758;135,99;22;652,758;135,99;652,758;135,99;652,758;135,99;652,758;135,99;652,758;135,99;675,9807851;136,6659845;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,04005289;-0,051180922;-13,439;2,24;-13,439;2,24;-13,439;2,24;-13,439;2,24;-13,439;2,24;-13,439;2,24;5,24185825;2,307220926;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,002252927;-0,00015852;-0,004787039;0,015053267;0,006347629;0,018609551;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2017(6);2017-06-01;10588513888;648,409;134,89;21;648,409;134,89;648,409;134,89;648,409;134,89;648,409;134,89;648,409;134,89;678,1439236;133,8352518;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,08303566;0,042982766;-10,489;-1,1;-10,489;-1,1;-10,489;-1,1;-10,489;-1,1;-10,489;-1,1;-10,489;-1,1;4,520819377;-2,83073271;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,013054995;0,005693148;0,00672854;0,012788164;0,009392354;0,010013762;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2017(7);2017-07-01;10366894922;643,766;138,43;21;643,766;138,43;643,766;138,43;643,766;138,43;643,766;138,43;643,766;138,43;680,1783554;138,0378596;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,06188339;-0,02115227;-8,992;3,54;-8,992;3,54;-8,992;3,54;-8,992;3,54;-8,992;3,54;-8,992;3,54;4,197570283;4,202607757;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,000499515;-0,001454885;0,000287542;-0,009660663;-0,010013617;-0,012542052;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2017(8);2017-08-01;10684258308;644,383;140,15;23;644,383;140,15;644,383;140,15;644,383;140,15;644,383;140,15;644,383;140,15;682,5589796;140,3574577;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,09203731;0,030153924;-4,026;1,72;-4,026;1,72;-4,026;1,72;-4,026;1,72;-4,026;1,72;-4,026;1,72;4,415056015;2,319598139;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,0160749;0,020437656;0,016519586;0,028877657;0,027384726;0,029436341;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2017(9);2017-09-01;10891863732;647,4;134,85;20;647,4;134,85;647,4;134,85;647,4;134,85;647,4;134,85;647,4;134,85;685,6304951;134,8100577;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,1112819;0,019244592;3,634;-5,3;3,634;-5,3;3,634;-5,3;3,634;-5,3;3,634;-5,3;3,634;-5,3;5,452139652;-5,547400054;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,035582729;0,032804956;0,033568229;0,01887085;0,020262196;0,018988586;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2017(10);2017-10-01;11017213456;648,672;136,06;21;648,672;136,06;648,672;136,06;648,672;136,06;648,672;136,06;648,672;136,06;689,0586475;136,5204962;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,12272475;0,011442845;4,289;1,21;4,289;1,21;4,289;1,21;4,289;1,21;4,289;1,21;4,289;1,21;6,499667884;1,71043853;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,020604444;0,018584719;0,016832994;0,017436992;0,019474822;0,01238564;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2017(11);2017-11-01;11242731883;652,073;135,08;20;652,073;135,08;652,073;135,08;652,073;135,08;652,073;135,08;652,073;135,08;692,5728466;136,2742157;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,1429877;0,020262956;4,673;-0,98;4,673;-0,98;4,673;-0,98;4,673;-0,98;4,673;-0,98;4,673;-0,98;6,942351578;-0,246280461;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;-0,006631336;-0,006639874;-0,008635424;-0,006685864;-0,007703659;-0,006043945;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
2017(12);2017-12-01;11449887807;657,859;135,77;20;657,859;135,77;657,859;135,77;657,859;135,77;657,859;135,77;657,859;135,77;695,8971963;133,085929;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;23,16124577;0,018258066;9,187;0,69;9,187;0,69;9,187;0,69;9,187;0,69;9,187;0,69;9,187;0,69;6,838548766;-3,188286699;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;0,074372997;0,072855774;0,07551659;0,066642466;0,074900477;0,067381163;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A
